Symbol,Company Name,Industry,MarketCap_Cr
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,8584
SBFC,SBFC Finance Ltd.,Financial Services,10047
SCI,Shipping Corporation of India Ltd.,Services,12931
SENCO,Senco Gold Ltd.,Consumer Durables,5435
SFL,Sheela Foam Ltd.,Consumer Durables,8085
SHAILY,Shaily Engineering Plastics Ltd.,Consumer Durables,12851
SHAKTIPUMP,Shakti Pumps (India) Ltd.,Capital Goods,6992
SHARDACROP,Sharda Cropchem Ltd.,Chemicals,7975
SHAREINDIA,Share India Securities Ltd.,Financial Services,3889
SHILPAMED,Shilpa Medicare Ltd.,Healthcare,11644
SHRIPISTON,SPR Auto Technologies Ltd.,Automobile and Auto Components,18134
SIGNATURE,Signatureglobal (India) Ltd.,Realty,10826
SKFINDIA,SKF India Ltd.,Automobile and Auto Components,7847
SKFINDUS,SKF India (Industrial) Ltd.,Capital Goods,14321
SKIPPER,Skipper Ltd.,Capital Goods,6013
SKYGOLD,SKY GOLD AND DIAMONDS Ltd.,Consumer Durables,9068
SMARTWORKS,Smartworks Coworking Spaces Ltd.,Services,5173
SMLMAH,SML Mahindra Ltd.,Capital Goods,5610
SOBHA,Sobha Ltd.,Realty,15521
SONATSOFTW,Sonata Software Ltd.,Information Technology,7599
SOUTHBANK,South Indian Bank Ltd.,Financial Services,11441
SPARC,Sun Pharma Advanced Research Company Ltd.,Healthcare,8761
SPLPETRO,Supreme Petrochem Ltd.,Chemicals,13633
STAR,Strides Pharma Science Ltd.,Healthcare,9962
STARCEMENT,Star Cement Ltd.,Construction Materials,8181
STYL,Seshaasai Technologies Ltd.,Financial Services,5505
STYRENIX,Styrenix Performance Materials Ltd.,Chemicals,3879
SUBROS,Subros Ltd.,Capital Goods,5178
SUDARSCHEM,Sudarshan Chemical Industries Ltd.,Chemicals,7280
SUDEEPPHRM,Sudeep Pharma Ltd.,Chemicals,9039
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,23315
SUNTECK,Sunteck Realty Ltd.,Realty,4584
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication,19570
